County,Total Pop,Under 18,65 & Over,Pediatric Asthma,Adult Asthma,COPD,Lung Cancer,CV Disease,Diabetes,Poverty Estimate
Accomack,"32,545","6,756","7,402",536,"2,245","2,045",18,"2,723","3,222","5,715"
Albemarle,"107,702","21,636","19,153","1,719","7,565","6,096",59,"7,726","9,287","8,015"
Alexandria City,"160,035","28,866","17,715","2,293","11,685","8,058",88,"9,353","11,706","15,922"
Alleghany,"15,122","2,877","3,649",228,"1,064",987,8,"1,323","1,562","2,160"
Amelia,"13,020","2,714","2,487",215,904,791,7,"1,024","1,240","1,466"
Amherst,"31,594","6,345","6,515",504,"2,209","1,938",17,"2,533","3,031","3,855"
Appomattox,"15,681","3,365","3,198",267,"1,076",937,8,"1,225","1,461","1,855"
Arlington,"234,965","41,976","24,214","3,335","17,210","11,441",130,"13,063","16,367","13,284"
Augusta,"75,144","14,490","15,357","1,151","5,311","4,633",41,"6,033","7,235","6,411"
Bath,"4,297",659,"1,175",52,315,303,2,412,484,428
Bedford,"77,974","15,574","16,184","1,237","5,461","4,886",43,"6,402","7,696","6,949"
Bland,"6,350","1,014","1,437",80,465,411,3,540,642,772
Botetourt,"33,192","6,293","7,325",500,"2,349","2,142",18,"2,831","3,389","2,102"
Bristol City,"16,790","3,428","3,507",272,"1,167","1,005",9,"1,314","1,558","3,206"
Brunswick,"16,244","2,819","3,393",223,"1,174","1,003",9,"1,303","1,554","3,093"
Buchanan,"21,514","3,789","4,682",301,"1,549","1,381",12,"1,813","2,169","5,734"
Buckingham,"17,065","3,055","3,231",242,"1,230","1,031",9,"1,319","1,592","2,600"
Buena Vista City,"6,327","1,191","1,206",94,450,366,3,468,558,826
Campbell,"55,010","10,875","10,611",864,"3,871","3,290",30,"4,243","5,102","6,157"
Caroline,"30,461","7,141","4,876",567,"2,056","1,671",16,"2,104","2,565","2,859"
Carroll,"29,708","5,527","7,065",439,"2,104","1,936",16,"2,588","3,061","4,947"
Charles City,"7,004","1,091","1,644",86,516,479,3,636,763,835
Charlotte,"12,119","2,595","2,639",206,830,748,6,990,"1,177","2,073"
Charlottesville City,"48,019","7,650","5,394",607,"3,592","2,353",26,"2,693","3,331","9,333"
Chesapeake City,"240,397","58,454","30,830","4,644","16,141","12,324",133,"14,974","18,592","21,928"
Chesterfield,"343,599","81,895","49,565","6,507","23,149","18,381",190,"22,774","28,055","22,626"
Clarke,"14,508","2,942","2,972",233,"1,013",913,8,"1,195","1,443",953
Colonial Heights City,"17,830","4,272","3,524",339,"1,184","1,010",9,"1,317","1,561","1,718"
Covington City,"5,531","1,028","1,200",81,393,345,3,453,539,861
Craig,"5,062",937,"1,139",74,360,329,2,436,521,590
Culpeper,"51,282","12,863","7,803","1,022","3,391","2,751",28,"3,449","4,223","4,900"
Cumberland,"9,811","1,940","2,143",154,686,611,5,806,958,"1,498"
Danville City,"41,130","9,087","8,428",722,"2,799","2,419",22,"3,165","3,757","9,679"
Dickenson,"14,782","2,957","3,154",234,"1,032",908,8,"1,192","1,418","3,569"
Dinwiddie,"28,208","5,660","4,835",449,"1,987","1,658",15,"2,101","2,567","2,781"
Emporia City,"5,282","1,219","1,022",96,355,303,2,393,469,"1,180"
Essex,"11,028","2,142","2,448",170,775,698,6,924,"1,099","1,482"
Fairfax,"1,148,433","269,030","150,075","21,376","78,010","59,927",639,"72,952","90,613","75,911"
Fairfax City,"24,097","5,739","3,512",456,"1,622","1,276",13,"1,581","1,939","1,827"
Falls Church City,"14,583","3,676","1,848",292,968,758,8,926,"1,157",498
Fauquier,"69,465","16,253","11,150","1,291","4,695","3,928",38,"4,966","6,096","3,947"
Floyd,"15,755","3,170","3,497",251,"1,097",994,8,"1,316","1,566","1,939"
Fluvanna,"26,452","5,336","5,182",423,"1,851","1,589",14,"2,058","2,472","1,688"
Franklin,"56,445","10,908","12,995",866,"3,967","3,622",31,"4,821","5,717","7,338"
Franklin City,"8,176","1,953","1,582",155,544,471,4,613,733,"1,674"
Frederick,"86,484","20,091","14,555","1,596","5,844","4,848",48,"6,156","7,480","5,723"
Fredericksburg City,"28,360","5,877","3,087",466,"2,000","1,348",15,"1,559","1,936","3,627"
Galax City,"6,625","1,445","1,388",114,452,396,3,520,617,"1,363"
Giles,"16,837","3,503","3,642",278,"1,163","1,035",9,"1,366","1,622","1,900"
Gloucester,"37,292","7,510","6,869",596,"2,618","2,244",20,"2,880","3,498","3,598"
Goochland,"22,685","4,053","4,896",322,"1,630","1,481",12,"1,946","2,344","1,340"
Grayson,"15,665","2,651","3,757",210,"1,133","1,035",8,"1,380","1,633","2,779"
Greene,"19,612","4,761","3,251",378,"1,307","1,089",10,"1,384","1,684","1,603"
Greensville,"11,679","2,002","1,736",159,857,662,6,812,"1,002","1,970"
Halifax,"34,563","7,140","8,167",567,"2,383","2,185",19,"2,927","3,444","6,036"
Hampton City,"134,669","28,278","20,276","2,246","9,400","7,225",74,"8,911","10,872","20,069"
Hanover,"105,923","23,560","18,271","1,872","7,251","6,128",58,"7,812","9,521","5,655"
Harrisonburg City,"54,215","9,103","4,988",723,"4,025","2,416",30,"2,645","3,283","10,837"
Henrico,"327,898","75,050","49,189","5,963","22,339","17,646",181,"21,916","26,841","30,836"
Henry,"51,227","9,981","12,056",793,"3,588","3,297",28,"4,406","5,209","8,183"
Highland,"2,212",301,723,23,164,169,1,237,273,275
Hopewell City,"22,621","5,862","3,482",465,"1,477","1,175",12,"1,473","1,787","4,434"
Isle of Wight,"36,552","7,672","6,778",609,"2,537","2,195",20,"2,826","3,431","3,087"
James City,"75,524","15,185","18,681","1,206","5,232","4,825",41,"6,507","7,603","5,049"
King George,"26,337","6,676","3,363",530,"1,744","1,350",14,"1,646","2,048","1,753"
King William,"16,708","3,876","2,635",307,"1,132",925,9,"1,163","1,424","1,135"
King and Queen,"7,003","1,275","1,567",101,500,454,3,600,717,862
Lancaster,"10,788","1,657","3,836",131,777,819,5,"1,170","1,324","1,365"
Lee,"23,758","4,484","4,868",356,"1,687","1,457",13,"1,895","2,268","6,270"
Lexington City,"7,106",677,"1,157",53,566,370,4,440,517,"1,069"
Loudoun,"398,080","113,312","35,607","9,003","25,449","18,345",221,"21,361","27,291","11,895"
Louisa,"35,860","7,302","6,937",580,"2,506","2,190",19,"2,836","3,431","3,851"
Lunenburg,"12,235","2,302","2,627",182,867,761,6,999,"1,189","2,299"
Lynchburg City,"80,995","15,690","11,669","1,246","5,769","4,037",44,"4,857","5,834","13,132"
Madison,"13,277","2,703","2,885",214,923,830,7,"1,095","1,306","1,488"
Manassas City,"41,501","11,100","3,994",881,"2,712","1,931",23,"2,253","2,852","3,595"
Manassas Park City,"16,591","4,016","1,291",319,"1,127",764,9,861,"1,112","1,169"
Martinsville City,"13,142","3,247","2,524",257,866,752,7,981,"1,173","2,879"
Mathews,"8,779","1,390","2,704",110,635,634,4,883,"1,018",842
Mecklenburg,"30,686","5,696","7,735",452,"2,167","2,025",17,"2,734","3,208","5,222"
Middlesex,"10,679","1,694","3,318",134,771,779,5,"1,087","1,254","1,406"
Montgomery,"98,559","15,393","12,009","1,223","7,389","4,927",55,"5,715","7,019","20,468"
Nelson,"14,943","2,742","3,943",217,"1,056","1,008",8,"1,372","1,605","1,959"
New Kent,"21,682","4,346","3,648",345,"1,529","1,279",12,"1,617","1,984","1,165"
Newport News City,"179,388","41,691","22,672","3,312","12,212","8,900",99,"10,684","13,165","29,521"
Norfolk City,"244,703","48,483","26,519","3,852","17,466","11,651",137,"13,417","16,647","44,181"
Northampton,"11,846","2,340","3,046",185,823,778,6,"1,056","1,234","2,157"
Northumberland,"12,275","1,837","4,418",145,888,938,6,"1,342","1,517","1,761"
Norton City,"3,936",816,733,64,273,224,2,287,344,863
Nottoway,"15,434","3,009","2,896",239,"1,090",907,8,"1,161","1,396","2,914"
Orange,"36,073","7,675","7,305",609,"2,484","2,166",20,"2,827","3,379","3,231"
Page,"23,731","4,761","4,983",378,"1,658","1,466",13,"1,922","2,297","3,618"
Patrick,"17,665","3,062","4,576",243,"1,266","1,203",9,"1,629","1,916","2,518"
Petersburg City,"31,750","6,961","5,252",553,"2,184","1,768",17,"2,227","2,706","6,804"
Pittsylvania,"61,258","11,784","13,454",936,"4,320","3,898",34,"5,146","6,142","7,601"
Poquoson City,"12,053","2,622","2,321",208,826,714,6,926,"1,113",600
Portsmouth City,"94,572","22,194","13,831","1,763","6,393","4,895",52,"6,037","7,354","16,935"
Powhatan,"28,601","5,282","5,073",419,"2,055","1,755",16,"2,234","2,740","1,488"
Prince Edward,"22,703","3,770","3,689",299,"1,669","1,234",12,"1,516","1,822","4,392"
Prince George,"37,809","8,097","5,174",643,"2,632","1,975",21,"2,400","2,954","3,590"
Prince William,"463,023","126,361","43,886","10,040","30,053","21,606",258,"25,239","32,058","28,074"
Pulaski,"34,184","6,065","7,648",481,"2,454","2,195",19,"2,895","3,447","4,882"
Radford City,"17,658","2,237","1,604",177,"1,378",830,9,904,"1,133","4,213"
Rappahannock,"7,321","1,251","1,938",99,525,504,4,684,804,651
Richmond,"8,939","1,513","1,907",120,649,555,5,722,859,"1,343"
Richmond City,"227,032","40,328","28,999","3,204","16,576","11,707",125,"13,870","17,107","51,609"
Roanoke,"93,730","18,887","19,552","1,500","6,543","5,717",52,"7,480","8,919","6,681"
Roanoke City,"99,837","22,457","16,103","1,784","6,820","5,458",55,"6,851","8,321","18,940"
Rockbridge,"22,659","3,938","5,728",312,"1,624","1,508",12,"2,031","2,385","2,787"
Rockingham,"80,227","17,679","14,933","1,404","5,487","4,623",44,"5,949","7,145","6,611"
Russell,"27,048","5,131","5,632",407,"1,918","1,691",15,"2,210","2,650","5,396"
Salem City,"25,862","5,200","4,798",413,"1,813","1,495",14,"1,912","2,295","2,567"
Scott,"21,865","3,930","5,153",312,"1,561","1,417",12,"1,887","2,231","3,689"
Shenandoah,"43,225","9,149","9,169",726,"2,975","2,631",24,"3,462","4,117","4,047"
Smyth,"30,656","5,956","6,598",473,"2,157","1,907",17,"2,507","2,985","5,305"
Southampton,"17,750","3,327","3,481",264,"1,266","1,120",9,"1,452","1,764","2,375"
Spotsylvania,"133,033","33,185","18,218","2,636","8,843","6,982",74,"8,605","10,649","9,160"
Stafford,"146,649","38,437","14,782","3,054","9,653","7,085",81,"8,353","10,595","6,522"
Staunton City,"24,528","4,717","5,166",374,"1,730","1,470",13,"1,918","2,269","3,072"
Suffolk City,"90,237","22,197","12,586","1,763","6,022","4,747",50,"5,858","7,231","10,067"
Surry,"6,540","1,136","1,412",90,473,431,3,566,683,833
Sussex,"11,373","1,774","1,933",140,846,665,6,829,"1,008","1,967"
Tazewell,"41,095","7,963","8,894",632,"2,893","2,554",22,"3,358","3,994","7,163"
Virginia Beach City,"450,435","100,136","61,631","7,956","31,023","23,331",250,"28,393","34,905","36,669"
Warren,"39,563","8,749","6,141",695,"2,722","2,224",22,"2,784","3,426","3,583"
Washington,"54,387","10,125","12,034",804,"3,863","3,438",30,"4,533","5,389","7,308"
Waynesboro City,"22,327","5,242","4,048",416,"1,498","1,237",12,"1,586","1,897","3,282"
Westmoreland,"17,780","3,357","4,423",266,"1,251","1,160",9,"1,563","1,833","2,742"
Williamsburg City,"15,031","1,689","2,294",134,"1,179",789,8,937,"1,118","2,396"
Winchester City,"27,932","6,359","4,307",505,"1,903","1,481",15,"1,841","2,236","3,395"
Wise,"38,586","7,605","6,757",604,"2,726","2,217",21,"2,806","3,395","8,285"
Wythe,"28,882","5,764","6,095",457,"2,021","1,791",16,"2,349","2,808","3,959"
York,"67,739","16,158","10,564","1,283","4,550","3,674",37,"4,608","5,626","3,321"
TOTAL:,"8,470,020","1,869,176","1,271,428","148,453","583,223","456,894","4,648","566,052","692,909","876,440"
